id,composition,Eg
1,Mg1Mn6O12,0.3416000000000001
2,Li1V3P3O13,1.2858
3,Zn1Si1O3,3.5783
4,Te6Mo2W1,1.2731999999999997
5,Mo3W1Se4S4,1.3755000000000002
6,Te4Mo3W1S4,0.2688999999999999
7,Mo3W1Se6S2,1.2888000000000002
8,Mo1W1S4,1.5276000000000003
10,Te4Mo3W1Se4,0.6334
11,Te1W1Se1,0.9929
12,Mo1W1Se3S1,1.2929999999999997
13,Te2Mo1W1Se2,0.8037999999999998
14,K1Mg6Ga1O8,1.1688999999999998
15,Mg14Ni1Bi1O16,0.8895000000000008
16,Na1P1F6,7.0089000000000015
17,Mg1O1,3.2583
18,Cs1S1O3,0.4344
19,Sc1F3,6.0792
20,Ba4Sr4Co3Cu5O20,0.008500000000000174
21,K3Na1H4,2.2261
22,K1Sn1N3,0.28590000000000004
23,Sr1H1Br1O1,4.3167
24,Mo1W1Se2S2,0.9892000000000004
25,Mn2H1O4,0.3413999999999999
26,Ce1Se2,0.1775
27,K2Bi1Au1,0.961
28,Li1Sc1Cd2,0.048499999999999766
29,Sr2Zn1Sn1,0.0019000000000000128
30,Li2Zn1Ag1,0.4451000000000001
31,Ba2Tl1Ag1,0.6040000000000001
32,Sr2Mg1Pb1,0.009399999999999851
33,Y2Tl1Cu1,0.14360000000000014
34,Cs1K2As1,0.02430000000000021
35,Li1Sc2Tl1,0.01770000000000005
36,Ba2Li1Tl1,0.6390999999999998
37,H1C1,3.091
38,Na2Sr1Ca1,0.9623
39,Sr2Pd1Pt1,1.0780999999999998
40,Zn2Ni11O13,1.9571999999999996
41,Nb1Cr1O4,2.3075
42,Zn1P2,1.4656000000000002
43,Cd1S1O4,0.8038
44,Li5Cl3O1,3.6165
45,K3As1I6,2.0463
46,K2Rb1Ga1I6,0.9854
47,Cs2Rb1Tl1Br6,1.5133
48,K2La1Cu1Cl6,2.1312
49,Cs2Tl1Bi1Br6,1.7359000000000002
50,Cs2Li1Y1I6,3.0085
51,Rb2Sc1Cu1Cl6,1.8655
52,K2La4O7,2.7306000000000004
53,Si2Mo1O7,0.1651999999999999
54,Ba1Ni1C4Br1,0.7667000000000002
55,B1P1O4,6.9876
56,Li3Mn1Co1O5,1.1939000000000002
57,Li4Mn3Co1O8,0.2601
58,Li4Mn1Co2O7,0.3761999999999999
59,Li7Mn2Co3O12,0.4234
61,Li7Mn5O12,0.09499999999999977
62,Li9Co7O16,0.6200000000000001
64,Li9Mn2Co5O16,0.3127999999999997
66,Li2Sn1O6,0.4868000000000001
67,Li2B1H6N1,4.1961
68,Ir1S2Cl3O7,0.4744000000000002
69,Ba1P2O8,0.26110000000000005
70,Gd2Cr2O5,0.012299999999999756
71,Cs1K2Fe3P4Cl1O14,3.5958
72,Sr2Zn1S3,2.4229
73,K2Cu1Te1O7,0.15850000000000009
74,Er4Zn5Ge6,0.15520000000000025
75,Cs1Mg1As1H12O10,4.1911000000000005
76,Na5Cu3P4O16,0.023499999999999854
77,K2Pb3C3O9F2,3.3002
78,Pr1Tl1P2S7,2.4403000000000006
79,Ba1Te3O7,3.2644
80,Cs1H2F3,7.0171
81,Zn1B3H3O7,4.6703
82,Si1Pb2O4,2.6225000000000005
83,Al2Fe1Si2O10,0.03710000000000013
84,Ni1Sb2H12O6F8,4.3116
85,Tc1C5Cl1O5,2.674
86,Re1C2N1Cl4,0.02260000000000006
87,H19C6N7O4,4.784000000000002
88,Ca1H8Cl2O12,5.1967
89,Zn1W1O4,2.4711
90,Rb2Mn1F4,3.0223
91,Zr1Ni1F6,5.6651
92,Sr3Li6Ta2O11,4.1195
93,Sm1Cr1Ge1O5,2.5142
94,Sm3W1Cl3O6,3.4707
95,Nd3Cu3Bi4,0.3033999999999999
96,Pr7Br3O18,0.3037000000000003
97,Na3Cu2Mo3O12,0.18900000000000008
98,K1Au1Cl4O2,0.6558999999999999
99,H12Pb1N3Cl5,4.4611
100,Cs3La1Br6,3.8877
101,Ba2B5Br1O9,5.0904
102,Sr1Pr1Sc1O4,3.7618
103,Sn1Te2Pb1,0.8409999999999993
104,Rb1V3Cd4O12,2.3428
105,Sc3In1P4,1.1089000000000002
106,Rh1N6O9,0.031299999999999883
107,Na1H1Se1O4,3.3653
108,Na1Pr1S2,2.2089
109,Mn3Cd1Te4,0.1924999999999999
110,K1Re3S4O4,0.28480000000000016
111,Cd2In1Ag1S4,0.17689999999999986
112,Ca2Pr2Mn1Ni1O8,1.2661999999999995
113,Ca4La2Zr4O15,3.0499000000000005
114,Ba5P3O12F1,5.0608
115,Li5Tl2,0.03469999999999995
116,Tm2Mg1Se4,1.6031999999999995
117,In1As1H4O6,2.8287
118,Be1H8N2F4,6.5541
119,Al1In2N3,0.8838999999999997
120,Ba3Sc2N4,1.6155
121,Mg1Co1Mo1S4,0.009700000000000486
122,Ca2Bi1N3,0.1524000000000001
123,Li1Fe1Si1O4,2.7623
124,Ca2Al1V1O5,1.5073
125,Tb1Cu1Se2,0.8279999999999994
126,Tl2Ge1Se3,1.1277999999999997
127,Y3Si3Rh1,0.0016999999999995907
128,Ho2Mo1O6,2.1491
129,Rb2Mo1S4,1.575
130,Na3Mo1N1O3,3.5676
131,Ca1Si2Ni1O6,4.4369
132,K2Ni1O2,2.7796
133,Be3Fe4Si3S1O12,0.003600000000000492
134,Tm1Fe1Ge2O7,2.5747
135,Gd1Si2,0.013999999999999345
136,Ni1Rh1F6,0.010099999999999998
137,Gd1Al3Pd2,0.02160000000000029
138,Ce2Mg1Cu2,0.004700000000000593
139,As1Se6I1F6,1.5625
140,K1Mg1H3,2.458
141,Nd1H1S1O5,5.562900000000001
142,Na1H1O1,2.8228
143,H2S1O4,6.0269
144,Sr1H2Br2O7,4.0346
145,Li1Cr1P4O12,3.3457
146,Li1Cu1P1O4,0.0938000000000001
147,Fe1P2O7,0.0974
148,U1Cl5,0.3309
149,Ni1Cl2,0.7411999999999999
150,Hg1Br1O3,3.1924
151,K3Mn2Cl7,1.4235
152,Li1Gd1Cl4,2.1377
153,Pd1Se2Cl6,1.6964
154,Ba3In2F12,4.5144
155,Al2Cd1Cl8,3.7051
156,Dy1S1I1,2.7811
157,Nd2S3O12,5.4318
158,Na3Al1F6,6.7147
159,Na2Ce1O3,2.1101
160,Mg1Ti1O3,3.4987000000000004
161,Ba1Ti2O5,1.8349
162,Tm2Cd1S4,1.1768
163,Ag2C1O3,0.4668000000000001
164,Ag3Bi1O3,1.5236
165,Cs1Na3Pb1O4,1.4987
166,Li2Pt1O3,1.9705
167,K2Ba3Sb4,0.44410000000000016
168,Eu2W3O12,0.0004999999999999449
169,Hg3S2I1Cl1,1.3739
170,As1S1,1.945
171,K2Cu1P2O7,0.2684000000000001
172,Te1As1I3F6,1.8929
173,Cd1C2O4,3.2847
174,Li2Pr1N5O15,3.6557
175,K2Cu3Se4O12,0.08119999999999994
176,Na1Si1B1O4,5.5023
177,Sr1P2O6,5.4198
178,Si1O2,5.522
179,Cs3Mo4P3O16,0.10060000000000002
180,K2Ca1N4O8,2.4419
181,K2Mn1F4,2.8394000000000004
182,K6Ti2S6O1,2.4831000000000003
183,Na2Fe1Cu1F7,0.05810000000000001
184,Na1Au1S2O8,1.7396
185,Zn1S1,2.0288
186,Cs1Te2O6,0.7305000000000001
187,Rb1Co1C4O4,3.8735
188,Cu3P4S4I3,1.6302
189,Au1Br1,1.9716
190,Ti1Hg6P4Cl7,0.03189999999999982
191,Ba2Ca1Fe2Cu1F14,0.953
192,Li1Mn4P3O12,2.8736
194,Cs3Na1Li2B2O6,3.454
195,Tl1Cr4Bi1O14,2.0799
196,Cl1F3,2.4608
197,Fe3Pb4Cl1O8,1.0678
198,H2,8.874400000000003
200,K1H3C2O3,5.133699999999998
201,Rb2Cd2S3O12,3.6774
202,Sn1P3O9,2.3453
203,Rb2Zn1Cl3,3.1934
204,Nd4Si4N7Cl1O3,3.1709000000000005
205,Pr1Y1Si2O7,0.6184000000000001
206,Na1Sr2Nd1Ti4O12,1.8572
207,H8W1S4N2,1.9874
208,U1P3H7O8,2.3075
209,K3Cr1C5N6O1,0.7213
210,Cs1B6H8O7,2.0912999999999995
211,Re1Ag1O4,2.3008
212,Cu1H12N2Cl4O2,0.5328999999999999
213,H4Os3C10O9,3.2289000000000003
214,V1As2H4O9,2.5663
215,Mn6O5F7,0.1452
216,Sm3Ta1O7,3.4282000000000004
217,Li2Ti1Co2O6,0.9135
218,Li7Mn1O4F2,2.4911
219,Fe1O1,0.4350000000000001
220,Mn1Al2O4,2.6578
221,Tb1Ce1O4,0.16639999999999988
222,Li1Cu1Si2O5,1.9408
223,Er2Ti1O5,2.9979999999999998
224,Li2B1P1C1O7,5.7155
225,Li4Cr1Ga3O8,1.3628000000000002
226,Ti1Mn3O8,1.4152
227,Li7Cr2O8,0.5066999999999999
228,Li1Fe2P5O16,2.6435000000000004
229,Li1Bi1P2O7,4.357
230,Fe1O1F1,1.2657000000000005
231,Rb2Li1V1P2O8,2.1295
232,Na3Ni5O10,0.4039999999999999
233,Al11Ag1O17,3.0201
234,Ba1Ca2I6,3.6009
235,Li2Fe1P1C1O7,2.4302
236,Li3Nb1V3O8,0.7161999999999997
237,Sr2Zr7O16,3.8853
238,Li4Nb5V3O16,0.13159999999999972
239,Li2Fe3F8,2.9492000000000003
240,Li1Fe1F4,3.103
241,V1O2F1,1.4702000000000002
242,Li1Cr3P3H2O12,1.9086
243,Li2Cu1Bi1P2O8,0.6624999999999996
244,La3B5O12,3.8196
245,Li2Mn1Fe1B2O6,2.7228000000000003
246,Li1Fe1P1H2O5,3.3321
247,Ca1Sb2H2F14,4.8322
248,Li4V3Fe2Ni3O16,0.5459999999999998
249,Li1Fe1O1F2,1.7251
250,Li3V2Cr2O8,0.8467000000000002
251,P1F5,7.0881
252,Pa1Tl1O3,2.6419
253,Cs2Zr1Cu3F12,0.0412
254,Li1B1C1,0.8987999999999996
255,Rb1Er1S2,2.3664999999999994
256,K1P2Au1S7,1.5454
257,Er1Cr1B4,0.17039999999999988
258,V2Zn3P4O18,1.3341
259,Ca1Co1F4,2.9636
260,Ca1Cu2P4O14,0.5299
261,Mg1W1F4,1.0404
262,Mn1Zn1F4,3.2142
263,Ta1Zn2Co1O6,1.6697000000000002
264,Li1Mn1O2,1.0305000000000004
265,Te4Mo3S2,0.6246
267,Te4Mo1W3S4,0.5940000000000003
268,Te4Mo1W3Se2S2,0.057500000000000114
269,Sr1As1,0.08329999999999993
270,Ge1,0.060999999999999936
271,Li1Mg2Au1,1.1835
272,Cd1Fe1Rh2,0.2555999999999998
273,Y1Sc1Ag2,0.07419999999999982
274,Ba1Li2Ca1,0.07939999999999969
275,Mg2Hg1Pd1,0.5148000000000001
276,Li9Mn7O16,0.7636000000000003
277,V5Fe2O12,0.4790999999999999
278,K2Li1Ce1Br6,0.2916000000000003
279,K3In1F6,5.1968999999999985
280,Cs2Rb1Ir1F6,2.2444
281,Cs1Pb1I3,1.6479
282,Zn4In1Ga1O7,0.9529999999999998
283,K1Ca1P3O9,5.0398
284,Li7Co5O12,0.5232999999999999
289,Na4Mn2C4S1O16,0.0004999999999999449
290,Li3V5O12,0.7819999999999996
291,Ho1Cu1O2,2.4917
292,Bi1O1F1,2.4281
293,Yb4Si7,0.010099999999999556
294,N1O4,0.333
295,Mg1N1Cl3O6,0.5607
296,K1Au1Br4O2,0.3915
297,K1Cr1O2,0.5693000000000001
298,Co2Ag3Sb1O6,0.3729
299,Ba1Na2,0.00969999999999982
300,Sn1Pb1S3,1.2068000000000003
301,Ti1Cu1Hg2,0.03730000000000011
302,Mn1In2Ni1O6,1.3835999999999995
303,Tm1Cu1S2,1.7643999999999995
304,Ca2Cr1Sb1O6,2.0326000000000004
305,Y3Ta1O7,3.536
306,Sm4Ni1S7,0.3699000000000003
307,Sm1B1N2,2.2949000000000006
308,Hg1C1N2Cl2O1,0.5141
309,Sc1H3C3O6,3.8243
310,Rb1Mn1Cl3O2,0.509
311,Na2Y2B2Te1O10,2.8937000000000004
312,Bi1Te1N1O6,2.7982
313,K1Sb1S2O8,4.222
314,Si1H12C8N8O16,3.6329
315,Ag2Pd1N4O8,1.8591
316,K1La1H2S2O9,4.4225
317,Ca5I2O12,2.5923
318,V4Cu9Cl2O18,0.003499999999999837
319,Rb2Mn1H12S2O14,2.6523000000000003
320,Na2W1O6,0.9709
321,Rb1Th2F9,6.3752
322,Cu1As12P4S12Cl1,2.3055
323,U1B1C1O5,0.2610999999999999
324,Sb1N1Cl8O1,1.7598
325,Li3V1H16O12,4.0262
326,K1Mn1P1O3F3,1.4691
327,Rb2Mo3Se1O12,2.5225
328,Si1H6C2,3.6294
329,Ca1V1Si4O14,0.7658000000000001
330,Th1V2Se1O9,2.3233
331,Cu1Te2Pb1O7,0.1459999999999999
332,S3N3Cl3O1,2.904
334,Cu3B6H2O13,0.21270000000000036
335,Ca1Al2Si3H6O13,4.7226
336,Mo2Pb1Se2O11,2.5032
337,Bi1Ru5C18O18,0.4695
338,B2H20C6N3Cl5,0.4366999999999999
339,Mo1N2Cl5O1,0.7384
340,Ba1Pd1Se2O6,1.5290000000000001
341,Zn1I6,0.1075999999999997
342,K2Tc1Br6,1.1391
343,V1P1N2O5,0.9729
344,Te1Br4,2.5202
345,Ta4Te16Pt1I8,0.03969999999999985
346,Tb2S3O20,0.27279999999999993
347,Sm2S3O12,5.5128
348,Rb1Y1Se1Cl2O3,4.3342
349,Rb1Gd3F10,4.3862
350,Pd1Pb2F6,1.1124
351,Rb1Pr2Cl7,4.3632
352,Na3Er1Br6,4.2104
353,Hf1Te7Se1Cl6,1.0113
354,Hf6C1Cl14,1.3301000000000005
355,Gd1Ag1W2O8,0.4934000000000001
356,Cs2Re3Se4I3,2.0776
357,Te1Pb2Se1,0.6154000000000002
358,Sr1C1O3,4.5237
359,Sb4Te3Se3,0.2110999999999992
360,Rb1Ti3Al1O8,2.5834999999999995
361,Na1Mo2P4O14,1.198
362,Na2Ca2Si3O9,4.4102
363,Mg4Fe1O5,2.5396
364,Li1Sb1W1O7,0.23639999999999994
365,La3Nd1Zr4O14,3.615
366,Li2H1N1,2.5571
367,K2Mg1Zr1Mo4O16,3.0522
368,Cs1Si2H1O5,4.694299999999999
369,Ca4Mg1Al2Si3O14,4.2782
370,Ba3Sr1Mo4O16,4.021
371,Fe1C6N9,0.2999999999999998
372,Ca4Se1N4,1.6765
373,In2Ga1N3,0.07829999999999959
374,Li2Fe2Si3O9,2.7733
375,Mg2Mn2Si3O12,1.3375000000000004
376,Cd1Cu2Sn1Se4,0.01360000000000028
377,Sr2Nb1N3,2.2869
378,Ca1Ga4O7,2.5344
379,Na2Ti1F6,4.6663999999999985
380,Sr4Al6W1O16,3.5419
381,Na4W1O5,3.8015
382,Gd1Ge2Pd2,0.0019000000000000128
383,Ni2Ge1O4,2.1356
384,Nd1Cl3,4.3052
385,Rb2Co1H8C2O10,2.9045
387,Li1Mo2P2O11,1.0134
388,Li1Mn1P1O4,3.4685
389,Ba3Si1S5,2.8128000000000006
390,Na2Ge1Se3,1.6129000000000002
391,Rb1Cl1O4,5.476800000000001
392,In2Si2O7,2.7008
393,Hg2P3Cl1,1.1273
394,Na2Te4O9,3.1228
395,H4S1O5,5.7206
396,Si3P2Pt1,0.5184000000000006
397,Te2O3F2,3.3405
398,Ba2Co1Cl6,0.35270000000000024
399,K3P1Se16,1.1056
400,Pu2Se3,0.003500000000000725
401,Cs2K1Zr1O1F5,4.8766
402,Rb1Re1Cl4,1.0283
403,Rb2V4O9,2.3314
404,Fe2P1H2C1O7,2.4335
405,Cs4Mn2Pd1F12,0.7394999999999999
406,Sr1Bi1Br1O2,3.1599
407,Ba1Pb2Br1F5,3.2598
408,K3Sc1Mo3O12,3.9435
409,Ca3Fe2Cl2O5,1.0816
410,Er1Mo1O4F1,3.7314
411,Tl1H1C1O2,3.4859
412,K5Li2Nd1F10,6.4524
413,Dy2Te3O9,3.2107
414,Ag1As1O3,0.4985
415,V1H14C4N1O2F3,3.068
416,Ba3Zn5In2O11,1.6195
417,Sr1Lu1Cu1Se3,1.1308000000000002
418,Fe1P4,0.8437000000000001
419,Hg1,0.07819999999999994
420,Hg1H10C3I3N1,2.0883
421,Tc1Br4,0.6025
422,Ag1Cl1,0.8739999999999999
423,Cs3Cu2Cl5,2.5338000000000003
424,K3Mo2Cl9,0.9338
425,Fe4H14O13,1.8555
426,Ba2Ti1Ge2O8,3.7131
427,Ni1Xe2F16,0.5866000000000002
428,K1B5O8,4.1303
429,Li1Sn2P3O10,3.7475
430,K1Pb2Cl5,3.3843
431,Cs1Ti1Zn1O1F5,3.1474
432,Os5C19O19,2.0266
433,I1F7,1.4709999999999996
434,Cs1Ta1Se3,0.2591000000000001
435,Ti1H8N2F6,4.7156
436,K2Mn1H2O1F5,1.3435
437,V1H7C4O8,1.8853
438,Ca1Zn1S1O1,2.6830000000000003
439,K1Cd2H8C10N15O4,0.014900000000000137
440,K1Cd1P3H8O13,4.4116
441,Li5Co2O6,0.4239999999999999
442,Li2Mn3F8,3.2136
443,Li1V1F4,2.2922
444,Li2Fe2Si1O6,2.4928
445,Li1Mn1P2O8,0.5912999999999999
446,Na3Co2O4,0.018799999999999702
447,Li2Mn1F4,3.3279
448,Li1Fe2F5,3.2456
449,Cs3La1O3,1.7368
450,Co3O1F5,1.1752
451,Na3Ge1P1C1O7,4.200100000000001
452,Fe13O15,1.2628
453,V2O3F3,0.9856
454,Li1Nb1P4O12,0.17990000000000084
455,Li1V1P2O7,2.5980000000000003
456,Li3Fe4B4O12,1.3159
457,Ti1Fe11O16,0.9842
459,Li8Ti1S6,2.6980000000000004
460,Gd2As1O5,2.2487000000000004
461,Li4Ti9O20,1.8429
462,Y2Ge1O5,3.4019999999999997
463,Ho2Te1O2,0.5903
464,Li2Hf1O3,4.1342
465,Li4Ti3Cr5O16,0.17010000000000014
466,Nb1V1O5,2.0402
467,Na2Co1As1C1O7,0.8248999999999999
468,Fe2Sn1P3O12,0.060999999999999936
469,V3P2O11,1.3052
470,Li1Fe2O1F5,2.4953
472,Li1Co1P1O4F1,0.4081000000000001
473,Li4V3Cr2Sn3O16,1.3335000000000004
474,Li2V1O2F1,1.0884
475,Li2Mn1V1P4O14,0.4305999999999999
476,Li2Mn1H8S2O12,3.9353
477,Li10Mn3Cr3Co2O16,0.9493
478,Li1Mn2B2O6,0.10670000000000003
479,Li1Si6Bi1O14,3.9631
480,Lu1H3,0.03670000000000062
481,Na1Tl1O1,0.1816
482,K1F3,0.6421000000000001
484,Mg1Al2C2,1.7218999999999998
485,Na2Cr1H2F8,1.8334
486,Cu1H1O2,0.5390999999999999
487,Cu1Bi1O2,0.8635999999999999
488,Ca1Nd2Ti2Mn2O12,1.3364000000000005
489,Ca1Mn2O4,1.524
490,Zn1Cr2O4,1.5494999999999997
491,Zn1Co1F5,1.5869
492,Ca1Ni1F5,2.0976
493,Ce1O2,1.9556
494,C1N2,4.6433
495,Cs1Y1P4O12,5.5177000000000005
496,Te1Mo2Se2S1,0.3118999999999996
498,Na1Ni1N1,0.1730999999999998
499,Te2Mo1W1Se1S1,0.9864000000000002
500,Tb2O3,3.9006
501,Pb1S1,0.5556000000000001
502,Ni1Cl2O2,0.4716
503,Ba2Cd1As2,0.3878999999999997
504,Na4Zn1Se3,1.6877
505,Ba1Tb1Ag1S3,1.0051
506,Sb1Ir1Se1,1.2113000000000005
507,Sc1Ag1Hg2,0.0804999999999998
508,K1Nd1Te4,0.14970000000000014
509,V6O7F5,0.7286000000000001
510,K1Mn2Cr2O10,0.15510000000000002
511,Cs2K1Pr1Cl6,5.0013000000000005
512,Cs2Pr1Cu1Br6,2.0604000000000005
513,Li4Mn3O7,0.4469999999999996
517,Li2Fe3W1O8,1.3138
518,Li2Mn3Sn1O8,0.5568999999999997
519,Fe4O3F5,1.1445
520,Dy2Pt2O7,1.4061000000000003
521,Sr1H16O10,3.3048
522,V2Ni1P2H6O13,1.8679
523,Ca1Al1O2F4,0.2029
524,Li1H2N1,3.9371
525,Li1In1W2O8,3.3852
