id,composition,Eg
38224,Y2Si3N4O3,2.8046
50079,Ca1Ge2Ru2,0.003099999999999881
3769,Pr1Cd6,0.11529999999999994
11774,K1Cl1O3,5.561
56843,Cs2K1Dy1Cl6,5.1002
27122,Na3Sb1,0.39859999999999984
36069,Co2As2O9,0.8638
35101,Co1N8Cl2,0.232
3481,Li1La2V1O6,1.9291
19556,H2Pd1S4O14,1.0176
57228,Ca3B6H16O20,5.3817
42982,Na2Mn1Si1C1O7,1.0668000000000002
52631,Mg1S2O7,5.5211000000000015
36697,K1Na1Cu1Si4O10,0.7998000000000003
40897,Ti2Sb2Pb4O13,1.4734000000000007
25167,Sr2Zn2As3,0.23150000000000004
18170,Y1Ag3P2S8,1.9689000000000003
8692,Tl1F3,1.256
8814,Li4Nb2Co3Sn3O16,1.6597999999999995
46192,Li4V3Cu3Te2O16,0.34739999999999993
51262,Dy4Cd1S7,1.2542
36474,P2H16N4O7,4.7241
43317,In2Pd1Rh1,0.14759999999999973
8075,Y2Te1O2,1.0627000000000004
14452,Nb1Se1I3,0.6281000000000003
6881,Ca1Mo2O4,0.38560000000000016
26431,Ba1Ni1P2O7,3.6337
5999,Ta1Tl6V1S8,2.127
14678,Mn1Pb2O4,0.7675000000000001
19845,K1Sm1P4O12,5.296
35355,Mg2Hg1Pt1,0.007700000000000262
19887,Hg3Te1Cl4,2.2498
21140,Nb6Cd1O16,1.5761
44374,C15Br7,1.2305
49992,Y2Te3Mo1O12,2.9765
50426,Li8B2O7,5.5123
41700,U2H14S2O19,2.1173
45100,Hg1Cl1O3,3.0705
8221,Sr2Bi2O5,2.2583000000000006
40748,Ag1H3C1N3O4,0.8281000000000001
3678,Li4Mn3Co3W2O16,0.32109999999999994
20578,Na1Nd3Ti3Mn1O12,0.9921999999999996
59073,Cs2K1Sb1F6,4.1813
59931,Cd1C1N3Cl2O1,0.07739999999999991
26033,Ba1Zn1Si1O4,3.5871000000000004
50478,Sr1Th1P2S8,2.2457000000000003
22948,Na5In1O4,1.7202000000000002
15565,Ca2Al3H3O8,4.4843
41872,Na1Zn2Cd1F7,2.6247
48838,Rb1Br1O3,4.1678
52481,Sr1La1Mg1Ru1O6,0.30630000000000024
38991,K1P1,1.0307
24803,Cs2Zn3S4,2.8432
36168,Gd2Si1O5,3.0204
43011,Li1Cr1Si6O15,0.7595000000000001
10418,Rb1Er1W2O8,3.4396000000000004
11911,Na2Tm1Mo1P1O8,4.199299999999999
48383,Tl8Cu4F11,0.7792000000000003
19035,Lu1Ni5,0.0018000000000002456
15750,Na1Dy1Se2,1.8635
17164,C4Se1O2,1.4248999999999998
57415,Ba2Sr1Ca3Mg2Si4O16,4.8925
42739,Cs1Sc1O2,2.9596
19355,Sr1Sn1N2,0.5597000000000003
32943,Ni1S1O4,3.2660000000000005
91,Zr1Ni1F6,5.6651
40650,Cs3Pr1Cl6,4.8837
21535,In1Sb2S4Br1,1.5192999999999994
32962,Er2Se3O9,3.9208
7964,Li2V1P1O4F1,2.9871
38874,Lu1Mg2Cr3S8,0.9741
4129,Na7Cu7O13,0.4387000000000003
5166,La1W1N3,1.2220000000000004
31677,K3Ge1S3,2.4019
17027,Li2Co1O3,0.23439999999999994
2088,Fe1Bi1O3,1.5455999999999994
60090,Ti1Mo1P3O12,1.3522999999999998
51687,Mn1Ag1O2,0.3077000000000001
7754,Ba2Li1Si3,0.09229999999999984
4019,Tb1Cu3Te3,0.6574999999999998
29956,Na2Mn2Se3,0.4796
61279,Ca1Co1F6,1.3477
52738,Sr4Bi6Se13,0.4887000000000001
54547,Li3Mn4P3H12O19,2.5572
53789,Li1Fe3O6,0.4091
30732,Nb1P2S8,1.2763000000000002
53305,Rb1Li1F2,6.1578
35826,Ta1Nb2Re1,0.3329999999999997
5770,Rb3Sb1F6,3.6822
11547,Ba2U2O7,0.4188000000000001
21124,Na2Li4Ni2C4S1O16,3.3572999999999995
20010,Li6Ti2O7,2.3693
15262,Ti1Fe1P2O8,1.7896
8520,La1O3,0.022299999999999983
39132,Cs1Tb1Mn1Se3,0.5093000000000001
41211,Fe17O18,1.5382999999999996
46064,Sr3Ca1Ti4O12,1.9399
39142,Mg1Co1Si1O4,2.6754
45246,Ca2Sb2O5,2.0209
21887,Ca1Mg1B6H12O17,5.5362
45031,Lu2Be2Si1O7,5.0025
38824,Li3V1Fe1P2O8F2,1.7913
51063,Sr1Cl2O6,5.2513
21357,Cs2Li1Nb1S4,2.4625
6142,Li6Mn1Fe1P2C2O14,3.6316
25066,K1Ga1P4O12,4.553
9906,Sm4Si2Se3O7,2.391
53196,Sr1Yb1Al3Si1N4O3,0.01980000000000004
20591,Ga7Te10,0.8757999999999999
44934,Sm1Tl1O3,0.8895
32797,Na5Cr1O4,0.9294000000000002
40893,Yb2Sn1S5,0.8792999999999997
26996,La4Mn1Cu6S10,1.1272000000000002
22778,Cs7Cu6F19,0.4654
59556,K1Rb2As1Cl6,3.4247
1463,Mg1Co1As1O5,1.0289
25292,W1Cl3O1,1.719
3199,Na1Nd3Ge1S7,2.1161
56929,Zn1Si1P2,1.3642000000000003
52617,Li4Ti3Mn4Co2O18,0.6986999999999997
37888,Cs1Ti2O3F3,2.8355
35219,Er2C1N2O2,4.0014
1473,Mg14Mn1C1O16,0.017000000000000348
36131,I1Br1,1.4045
51037,In2P3Se9,0.7471999999999999
19129,Mn2Cu1O4,0.006399999999999739
28460,Fe3Ge1,0.0026000000000001573
57332,Ca2Ga1Ag1,0.0064000000000001825
15925,Na3Ce2C4O12F1,0.25009999999999977
4428,Mo1W2S6,1.6124000000000005
17035,C1N2O1,0.29600000000000026
13791,Li1P2W1O8,3.3891
7040,Ge1Pb1O3,2.6967000000000003
24363,K1V13O20,0.5906999999999996
42817,Ga2Sn1Ge1S6,0.9516
61529,Sr1Zn1Cr1P2O8,2.2758
61670,Ti3P4O14,0.014199999999999768
25927,Li3Mn3Co1O8,0.5283000000000002
54132,Na3Li1Mo2O14,0.3096000000000001
48819,Cs1Mg1P1O4,4.6322
43675,Cs1Ag2I3,2.2789
32479,Pr4Si4N7Cl1O3,3.0981
31480,Ba3Bi6Pb1Se13,0.7387999999999999
2704,K2Mo1S3O1,1.9355
27732,Rb1Be3Zn1F9,6.2806
