id,composition,Eg
53262,K1U2H5C4O15,2.1171
40015,Li4Mn3Nb2Ni3O16,0.4425000000000003
12676,K2Rb1Tm1V2O8,3.3997
28500,Cu3P8S6Cl3,1.7894
6711,K2Rb1Er1V2O8,3.4064
17169,Rb1Cr1Cl3,0.13800000000000034
22614,V2Ni1O6,2.6287000000000003
29866,Sb1Te1Ru1,0.7001999999999997
11614,Tl4Si1S4,1.9781000000000004
4195,Na1Li2Rh1F6,1.9166
16437,Ba1H2C2O4,4.6763
16760,Rb3C1O3F1,3.4607
51955,Hf1Ti1Os2,0.2038000000000002
26657,Ba1B1P1F10,7.269
52250,Cs1Cu1Te1S3,1.7793
51287,Zn3Cr2N4,0.05679999999999996
44232,Rb2U1O4,1.8996
17867,Ba2Sn1S4,1.9552
32857,Sr1Tm2S4,1.8208999999999995
17241,Ag1N1O2,1.4335
45404,Li5Mn3Ni2O10,0.3609
34534,Sn5O6,1.7638999999999996
26546,Ba1P2H2O8,0.4457
37344,In2Ag1S3Cl1,0.7221000000000002
3075,U1C1O5,2.2611
16209,Yb1Y2S4,2.1278
14353,H5C1N3,4.5213
56075,Sn1P1O1F7,4.6387
38398,Er4Cd1S7,1.2697000000000005
4232,Rb2Mo4O13,3.1544
31565,Cs2Ag1Sb1I6,0.4386999999999999
6503,H1C12N3F10,2.5513
20214,Cr3Co2O12,0.7207
17342,K1Pb1,0.3735
11995,La3Cu1Sn1S7,1.7775
16289,Mg2Sn1Hg1,0.3927000000000001
59539,Rb3Sb1Cl6,3.3161
39444,Li2Bi1P2O8,0.16710000000000005
4370,Na1Ca2Mg2V3O12,3.3303000000000003
28000,Sc1Ni1Sb1,0.26949999999999985
1915,Ba4Zr1O6,3.1559
28017,K2Mo4O13,3.1281
30893,B1H3N1F3,7.7189999999999985
44528,K2W2O5,0.10729999999999996
14231,Sc2Te1O6,2.8897
53676,K1Ta1W1O6,3.2
61016,Ca1Sb4O9,0.5154999999999998
4411,Li1Cr3P6O20,1.7223
17805,Li1C4O1F9,6.074199999999999
15060,Be3P2,0.21140000000000025
72,Sr2Zn1S3,2.4229
1930,K1Be1H3,3.0876
48962,Li3Gd1O3,3.2731
26290,Li1Sc1F4,6.1127
16240,Li1Mn5P3O13,2.9258
34919,Na1Y1Se2O6,4.1813
9714,Nb2P4O15,3.27
42642,Ca1Be1B2O5,5.6915
47277,Ce1P2N2O9,0.00880000000000003
8523,Li5Si1N3,2.1599
40665,Sc2W5Se3O12,0.2410999999999999
18881,Cd1Bi1S2Br1,1.95
9630,La3Sb5O12,3.2056000000000004
57154,Zr1Ge1Te4,0.4017000000000008
1852,H2C1N2,4.709899999999998
34513,Li2Al1P1C1O7,5.7136
19929,Ta1Tc1Pb2,0.1178000000000008
43309,Mo2W1Se6,1.484
43944,Sr2I1N1,1.7944000000000004
2409,Li3Mn2P2C2O14,0.9409
50072,Ca5Al6O14,4.2272
4330,Os1O1F5,0.8058000000000003
7561,Cu2Te2Cl2O5,0.2530000000000001
12466,Hg2Se1O3,2.3115
23361,Mg1Mn1F6,2.6296
49224,Ba2In1Sb1Se5,0.8716999999999997
14749,Bi2Te1O2,0.5792000000000002
47459,Ca2B1N2F1,2.9278
12275,Rb3Ta5O14,3.6842
509,V6O7F5,0.7286000000000001
28898,La1H4C2S1O8,2.7506
15809,Sr2Nd1Nb1O6,2.8821
30218,Hf1Si1O4,5.3034
56228,Sr2Tm1Nb1O6,2.8578
43374,Tl1As1O6,0.5207
51578,Sr1Tb2Fe2O7,1.5329000000000002
44059,H2S1O5,4.6095
42418,Li1Cl1O2,2.6926
11866,Ba2Cd1Sn1,0.08120000000000016
48424,K2Li3Ni1O4,1.8116
32727,Ba2La1Nb1O6,3.0242000000000004
31141,Co7Cu1As4H4O20,0.4341999999999999
28631,Ba2Na1Li1,0.5001000000000002
8496,Ba3Bi1N1,0.6465000000000001
16369,Al2Cd3Si3O12,2.9554
23465,Cs1Re2N3,0.03869999999999997
15329,U1C2O7,0.7991999999999999
29455,K2Mn1H4Se2O10,2.2683
11779,Ca1Mg1Ge1O4,3.6236
31514,W1O2F1,1.6288
37895,Zr1Mo1N3,0.030400000000000205
6423,Nb2Ni2O9,0.5091000000000001
4274,Ba4Re2Ni1O12,1.8582
15378,Cd1Ga2Te4,1.0269
1766,Sc1Tl1S2O8,4.3431
51695,Na1Y1Mg6O8,2.8937000000000004
612,Sm3Ti3Se2O8,0.03230000000000022
20289,Nd1N3O15,0.008199999999999985
51237,Y1Bi1Te3,1.0235000000000003
39110,Na2Te1S3,1.7821
42820,Tl2Te1H6Se1O10,3.1501
38330,Rb1U2F9,0.07169999999999987
12475,Mg1U1B2O7,2.2225
44353,Ca1Si1O4,0.10299999999999998
15428,Cs1V1S1O6,2.4242
23218,Cs1Sc1W2O8,4.1734
43818,Ho8In3Co1,0.16169999999999973
9178,Cu1Ag2P4O12,0.2824
58051,K3Zn1B5O10,4.2518
15353,Tb1Mg1B5O10,6.0659
42062,K2Zr1S2O10F2,0.1891
29004,Ga1B1Pb1O4,3.298
25728,Li1Mn2Te1O6,0.9725
2703,Ag1Bi1W2O8,2.9972000000000003
3582,Fe1H4S2N1O8,2.3215
38291,K1Ag1C2,2.4628
61713,Ca1P2W1O7,2.0208
18352,Ca3Ti2Si4O14,0.1205999999999996
35983,Cs4V2S4O3,1.9431000000000005
53418,Ba4Na1B10Cl1O18F2,5.0791
4784,Ba2Sn1Se5,1.0762
61310,Y1Fe3O6,1.1700000000000004
17718,Li7Mn3Co3O16,0.08230000000000004
25282,Ba3Na1Ru2O9,0.06269999999999998
21520,Tb6Cd1S10,2.0746
6014,Sb1P1H2F10,1.893
49083,Fe1As1H4O6,2.8454
55191,Dy2Cd1S4,1.0877
33306,Mg2Bi1Sb1O6,1.5850000000000009
39377,Rb1Ba1P1S4,2.2622
56393,K3Li1Pb4,0.2197
32745,Na15Sn1Ge8P1,0.008600000000000385
6138,P2W1O7,3.0964
25487,Th1Ni1Sn1,0.28449999999999953
57770,Sc1H16C3S3O17F9,3.936
59679,V2Cd1O10,0.698
38029,Na1Tl2In1F6,4.3089
438,Ca1Zn1S1O1,2.6830000000000003
2771,Dy2Mg1S4,1.4192999999999998
12459,Mo4O11,0.08939999999999992
55119,Fe1P1H6N2O4,2.7241
61107,Mg1Co3P3O13,0.3429999999999997
40923,Ca7Mg2N6,1.1801
7932,Lu1Ag1Te2,1.1553000000000004
9019,Cu1Mo3Br7,1.6912
6183,Ca1Sn1F5,0.12259999999999982
6101,Be3Fe4Si3Te1O12,3.246900000000001
19841,Nd1Mo5O8,0.5002000000000004
6099,Ca2B5H2Cl1O10,5.2289
25614,Nd1Ta3O9,2.2516
2932,Nb6Tl3S1Br17,0.16159999999999994
2838,Pb1Cl2,3.0356
56876,Sm2Sb3Pd1,0.14679999999999982
54667,Fe1H4C3O8,1.8406
55409,K1U1Si1H1O6,2.1177
34706,Gd2B1O3F3,2.7369
27278,Nd1Tl1Se2,1.2742
24235,Sr4Pt1O6,2.2143
47740,Li1Cu1S1O4F1,0.2825000000000002
20367,K1La5C2Cl10,1.9383
32368,K3Sb1S3,2.6999
28434,Ti1Bi8W1Br2O16,1.4728000000000003
14585,In2Cu3Se6O18,0.22109999999999985
47404,P1Pd1S1,1.1076999999999997
37811,K1Ba1Bi1Te1O6,1.6254999999999995
47118,Rb2Pd1N2Cl2O4,1.6981000000000002
25525,Sr2U1Fe1O6,1.1307000000000005
48023,Ga1Pb3N3,0.15629999999999988
4883,Zr1Co1O3,1.7283
58923,K3Ce1I6,0.2764000000000002
26083,Li4Ti5S12,1.0343
347,Sm2S3O12,5.5128
19665,H10C3N1Cl1O4,5.6244
58997,Cs2Na1Lu1Cl6,5.3362
4196,K2Sm1Au1Cl6,2.1048
52039,In3P2O8,3.0693
28735,In2Te3O9,3.0178
33901,Hg1S2O7,2.59
22410,Na1Sb1Cl1O1F3,0.3833
16268,Na2Zr1O3,4.3594
6537,Np1Cl3,0.013300000000000093
8717,K2Ni1Mo2O8,3.4739
12548,Li2Mg1Mn3O8,1.3406
12423,Ca5Hf2N6,1.3088000000000002
666,Eu2B5Br1O9,0.8801000000000005
57305,Ca1La2Ti2Cr2O12,0.5655000000000001
12765,Na1As1H4O5,3.8056
29345,Na1Zn1N1,0.0015000000000000568
53800,Li6Mn1Co1P2C2O14,2.0206000000000004
5327,P10Au7I1,0.5754000000000001
22381,Ba1Mg14Ni1O16,0.6776999999999997
4735,Zr1S2N1,1.041
2990,La1Ce1Si2B2O10,0.1837999999999997
16637,Ca4S1N4,1.7791
22793,Fe3C9S2O10,2.1731
58231,Mg3Mn1H7,1.6702
57117,Tm1N3O9,3.2789
18378,Si1P2O7,5.8067
18566,K2Hg3Ge2Se8,1.0497
7546,K5In1Mo4O16,3.4452000000000003
42801,Rb2Sm1Au1Cl6,2.1101
17582,Ba1V1P2H4O10,2.5195
35312,Li4Ti3Fe3Sb2O16,0.15969999999999995
5233,Ti1P2N1O8,0.05390000000000007
35504,Y1Al3B4O12,5.3553
20721,Na4Re1N3,2.4373
27497,Na3Al3Si3Ag1Br1O12,3.3353
21817,Na2Zn2Si2O7,3.3241
32311,Li9Ni2O8,0.1262
57145,Ba2Zr1Sn1O6,3.6849
27417,Cs4Ge5Pb4S16,2.298
13720,Hg6Bi1As4Cl7,1.2956
17792,Nb1H2N2O1F5,1.2031
12678,Fe2H2Se3O10,2.2951
19551,Pt1C8S4F12,1.0898
41951,Cr1P3H2O10,3.2839
24599,Li3V2F12,0.6636
21518,Cs1Ta1Cu2Te4,1.2562999999999995
7885,Cs2Rb1La1Cl6,4.7784
49471,Ba2U1Pb1O6,1.2277000000000005
20134,Nd1Sb1Mo2O9,3.24
37954,K1Mn5Se6O18,0.4048000000000001
35059,Mg2Bi2O5,1.8327
51917,Cs1Cu3S2,1.6987
21506,Bi6Br7,1.4109000000000005
19942,Na1Ga1H8N4,1.261
3193,Mn1Te1O3,2.664599999999999
44132,Ce1P3H8O7,0.1740999999999997
35926,Mn3Al2F15,1.4385
55779,Li1Ni1F3,4.8688
14190,Lu1Mn1O3,0.3985999999999996
14424,Ba1Sb1F5,4.7551000000000005
10670,Ba3Ti1Zn1W1O9,3.0876
17553,Na2Gd1Ta5O15,2.2267
20600,Li1Fe2P3O12,0.003499999999999948
7869,Cs1B1S3O11,5.6438000000000015
10875,Na1Ga11O18,0.05059999999999998
20820,Ho1Sb1Pt1,0.4584000000000002
14192,Ca3Mn1Ni1O6,2.1975
58644,Mg3Si2O9,0.5450999999999997
4819,Ba1Ag2Ge1Se4,0.04519999999999992
23741,K1La2Nb1O6,3.7510000000000003
22476,K1Na1S1,2.4851
59722,Rb1Tm1N4O15,0.8384999999999998
15515,Li1Mg1Sb1,1.1130999999999998
56700,Li3In1O3,2.8861000000000003
23456,As2H5C1O6,1.8505
5554,Ca2Mn1Al1O5,0.4972999999999996
55838,Ac1I3,2.5888
60931,Ba2V2F11,0.9046
237,Sr2Zr7O16,3.8853
33557,Li1Cr1B3H3O9,1.4087
57230,Sb1H6C1N3F4,4.5824
1622,As1S4N4F5,1.8969
37313,Fe1Te3S3Cl3O9F18,3.0258000000000003
48336,Ga2Te1S2,1.2007
31363,Na1W1O4,0.8348
8443,Li2Cr3P4O14,3.1964
629,Rb1I1O4,2.4311000000000003
9199,Ba1Bi2S4,1.2836
4587,Ca1H12C1O9,4.8956
7706,Xe1,6.1938999999999975
21731,Zn4In2O7,0.6581999999999999
11877,Sr1Th1F6,5.1336
12296,K1Li4Cr1O5,1.0156
13639,K1Cu7S4,0.22389999999999954
24186,Sr1Nb1N1O2,0.04720000000000013
1251,Ca2Zn1Ge1,0.0021999999999997573
19579,Cu1Ag2P2O7,0.3123
7143,K2Mg1P2Se6,1.791
7353,Mg2N1F1,2.1244999999999994
53947,Ba4Cl6O1,4.3699
4676,V1O1F3,1.8399
38492,K2Sr2O3,1.9508
18314,Li3Ni1F6,2.219
23895,K2P1S3,2.9121
35358,Mg2Zn1Cd1,0.03510000000000013
7999,Li1Mo2O4,1.4749000000000003
18916,B1H3O1F4,7.648099999999999
43868,Sr1Ta2O6,3.2289999999999996
8105,Li2V1O1F4,1.6297
44702,H12C4I1N1,4.1779
12936,Ba6Ho2Ga4O15,3.547400000000001
43252,Li2Mn1V4Fe1O12,1.3587000000000002
56941,Sr1Ta1F7,5.4929
22711,Sr1Cu2Ge1S4,1.0496
59226,Cs3Al1Br6,3.3854
6221,Rb1,0.10379999999999988
51043,Ba3B1N3,0.1974
50488,Zn1Bi4P2O12,3.1523
99999,K2BePb,0.9599487781524658
100000,Be3Zn11AsCl2F7,1.4794604778289795
100001,KBaSr2NdBe2(NCl)2,3.287749767303467
100002,Cs2Co5Cl6O7,1.3795723915100098
100005,Na5NdDyH2,5.006577491760254
100006,CsSr2YErFe8F8,1.8876216411590576
100009,KCaCeBeFeSn9HWICl,0.4667950868606568
100011,Sr2La(FeO3)2,1.561694860458374
100016,Ca2YRh,0.09921729564666748
100017,RbSr2Dy2Mn17Tl10Si3GeP2Ru11N2Cl15O,0.7394826412200928
100018,Al3SiSnGeWC5N3Cl,1.7884581089019775
100022,CsBa2Sr2La2Y2Zn2CrH14Rh4PbC2SF12,2.117612600326538
100025,C2Cl,1.9161747694015503
100039,KBaSr2Nd(BeN)2,2.536104917526245
100041,CsSmFeCu12GeBi12B2Mo2H4Pb(CN)2,0.4258741140365601
100059,CsH2O9,4.379510402679443
100060,ErUFe7As(C3Se)2,0.5436693429946899
100061,Cs4BaSrLiCa8Er7ReGeBi10H18RuKrF8,1.4856678247451782
100062,Ba2LiLaAs2H3,2.3902966976165767
100063,KBaBe2As2H2XeO4,3.2742176055908203
100064,Tb5BeW4O,0.8840035200119019
100065,Li2Fe7ReHgSeCl4,0.4762035608291626
100066,HfSb5S(ClF3)2,2.6108529567718506
100067,Ba8NaSmAlFe15H18SO6,2.1261558532714844
100068,Cs2KLiPmHf2AlGa6GeAs3S2F3,2.7535250186920166
100069,BeSi10XeN4Cl2O,2.293253898620605
100070,SrGdAl4Fe15H13Cl2,1.434145212173462
100071,KSr2H8O,4.687438011169434
100072,Ba2LaGdU2Fe10SnPtCl6,0.4607765674591065
100073,Er2TeN,0.75185227394104
100074,BaNa5Sr2ErBeCd7Hg7CCl,1.7279460430145264
100075,K10Ba2CaSmUW2SO19,2.428285837173462
100076,Sr2NdGd2Be3Sb2WXe(Br3O7)2,3.0861601829528813
100077,Cs2CdB2Te4(ClO7)2,3.502826690673828
100078,BaO10,2.0875473022460938
100079,BaLaBe2NbHg5H2PdPb,0.6622798442840576
100080,NdHg6O19,2.1997458934783936
100081,YbTaFe9Bi2H2SO9,1.0621726512908936
100082,KPr3HoErTm9Mg2Ti2BeCdFe13Mo15Ru4F2,0.7028564214706421
100083,Cs4BaHoEr2Zn3Fe15P2C,0.6983611583709717
100084,Ba14Ca6La15Yb11Sm7Al3CrRe11Sn6Bi14Se12SN13Cl,0.9765145778656006
100085,BaNd2AlMoI18,1.049839973449707
