id,composition,Eg,num_atom,# of elements
4112,HoF3,6.429813861846924,4.0,2
4304,NaHoH4,6.144465923309326,6.0,3
10746,CaNdF3,6.275124549865723,5.0,3
23932,DyF3,6.131641387939452,4.0,2
35580,F3CH2,6.092130661010742,6.0,3
36415,LaDyF5,6.446029186248778,7.0,3
36591,HoF3C,6.0591654777526855,5.0,3
39306,KF3B2,6.109841823577881,6.0,3
49312,SrF3B2,6.1276001930236825,6.0,3
78249,TmLuF5,6.740656852722168,7.0,3
82599,TmSiF3,6.157666206359862,5.0,3
99578,DySiF3,6.282773017883301,5.0,3
100940,LaNdF5,6.323979377746582,7.0,3
110214,DyErF5,7.016704559326173,7.0,3
111396,YF3,6.007586479187013,4.0,2
132214,AlNdF5,6.161237716674805,7.0,3
135485,HoClF3,6.726535320281982,5.0,3
143755,CsCl2F3,6.1673316955566415,6.0,3
147167,HoF5C,6.421571254730225,7.0,3
161350,LiPF5,6.259849548339844,7.0,3
166570,SrLuF5,6.511075496673584,7.0,3
174343,DyHoH4,6.127031326293945,6.0,3
178078,DyClF5,6.6914424896240225,7.0,3
193576,KNdF3,6.157494068145753,5.0,3
194095,CaHoF5,7.0735039710998535,7.0,3
229934,SrNdF5,6.567142009735107,7.0,3
247157,DyF5C,6.223542213439941,7.0,3
252186,Cl2F3B,6.718550682067871,6.0,3
260087,MgHoF3,6.569617748260497,5.0,3
267622,MgLaF5,6.21192741394043,7.0,3
274166,CaClF5,6.4579219818115225,7.0,3
275436,MgCsF3,6.238894939422607,5.0,3
280778,SrYF5,6.612597942352295,7.0,3
281059,Cl2FH3,6.019763946533202,6.0,3
308161,ScCsF3,6.089997291564941,5.0,3
309152,SrCl2F3,6.181333065032959,6.0,3
316698,YClF3,6.38684606552124,5.0,3
319859,LaSmF5,6.047431945800781,7.0,3
334648,MgLuF5,6.662116050720215,7.0,3
349451,MgNdF3,6.235393047332764,5.0,3
353024,ScLuF5,6.573728561401367,7.0,3
357857,SrLaF5,6.084178447723389,7.0,3
366899,CsNdF3,6.324342727661133,5.0,3
397134,LaHoF5,6.6665287017822275,7.0,3
404516,ClF3B2,6.231670379638673,6.0,3
409998,NdDyF5,6.9464168548583975,7.0,3
414185,MgYF3,6.2465105056762695,5.0,3
419794,LaLuF5,6.292430877685548,7.0,3
441418,F4CH2,6.14411211013794,7.0,3
457439,TmClF3,6.243688106536865,5.0,3
468218,Na2MgF3,6.344235897064209,6.0,3
489919,YF3B2,6.459146499633789,6.0,3
498781,LuF5C,6.009257793426514,7.0,3
505516,DyHoF5,7.266489028930664,7.0,3
508173,CsDyF3,6.438028812408447,5.0,3
547559,CsF3B2,6.258981704711914,6.0,3
550871,F2B,6.330888748168945,3.0,2
562500,HoLuF5,7.090452194213867,7.0,3
619530,ScHoF5,6.960966110229492,7.0,3
620877,SrDyF3,6.107937812805176,5.0,3
625143,YClF5,6.593505859375,7.0,3
630013,SrCsF3,6.0337181091308585,5.0,3
655899,LaSiF5,6.132790565490723,7.0,3
660003,ErF3,6.059279441833496,4.0,2
661907,LiNdF5,6.6664791107177725,7.0,3
677849,LiClF5,6.390468120574951,7.0,3
685918,BeAlF5,6.0744590759277335,7.0,3
687759,DyClF3,6.468482971191406,5.0,3
690805,DyGeF5,6.098630905151367,7.0,3
707264,SrHoF3,6.375333786010742,5.0,3
709164,CaDyF5,6.833777904510497,7.0,3
737070,LaClF5,6.025441646575928,7.0,3
737200,SrClF3,6.039708137512207,5.0,3
777825,ScYF3,6.121549606323242,5.0,3
783563,MgF3B2,6.299935817718506,6.0,3
802017,BaDyF5,6.442387580871582,7.0,3
805357,CsNdF5,6.643748760223389,7.0,3
834061,Na2F3B,6.706350326538086,6.0,3
881007,DyClF4,6.620155334472656,6.0,3
890203,YCsF3,6.3610005378723145,5.0,3
902694,LaTmF5,6.324989795684815,7.0,3
934622,RbDyF5,6.992831707000732,7.0,3
953618,MgDyF3,6.300721645355225,5.0,3
974584,CaDyF3,6.352638244628906,5.0,3
975720,MgSiF3,6.07623291015625,5.0,3
1005990,NdF5C,6.0441551208496085,7.0,3
1007301,LaNdF4,6.1372742652893075,6.0,3
1008441,DyFH2,6.0627264976501465,4.0,3
1032007,YLaF5,6.372710227966309,7.0,3
1036140,HoBrF3,6.648452281951903,5.0,3
1036577,KNdF5,6.5147881507873535,7.0,3
1049652,KHoF3,6.502821922302246,5.0,3
1053741,YF5C,6.112305641174316,7.0,3
1066216,HoF2,6.109622001647949,3.0,2
1070853,NaF5C,6.110567092895508,7.0,3
1076076,PrDyF5,6.332371234893799,7.0,3
1128777,NaYF3,6.662719249725343,5.0,3
1134418,CsDyF5,6.803775310516357,7.0,3
1135470,NaF2B,6.677539348602295,4.0,3
1163725,LiNdF3,6.285881042480469,5.0,3
1169911,NaHoF3,7.009415626525879,5.0,3
1177338,YFH2,6.000864028930664,4.0,3
