id,composition,Eg,num_atom,# of elements
2173,AlF3,7.323107719421388,4.0,2
4112,HoF3,6.146486282348633,4.0,2
5151,NdF3C,6.0592308044433585,5.0,3
10746,CaNdF3,7.125615119934082,5.0,3
17512,FCH2,6.396151542663574,4.0,3
28006,AlFH2,6.373154640197754,4.0,3
35580,F3CH2,6.209908485412598,6.0,3
36591,HoF3C,6.260760307312013,5.0,3
39306,KF3B2,6.106575965881348,6.0,3
43676,NdF3,6.590651512145996,4.0,2
43857,SiF3,6.941897392272949,4.0,2
49312,SrF3B2,6.154278755187987,6.0,3
61088,AlNdF3,6.848381996154785,5.0,3
65974,NdF2,6.272383689880371,3.0,2
71092,NdFH2,6.673930168151856,4.0,3
75200,LuF3,6.358410835266112,4.0,2
78249,TmLuF5,6.4851036071777335,7.0,3
79978,SiH4,6.4422950744628915,5.0,2
82599,TmSiF3,6.380109786987305,5.0,3
92729,AlF3C,6.055635452270508,5.0,3
99578,DySiF3,6.178884506225586,5.0,3
100940,LaNdF5,6.261362075805664,7.0,3
110214,DyErF5,6.393582344055176,7.0,3
132214,AlNdF5,7.039801597595215,7.0,3
161350,LiPF5,6.959153175354004,7.0,3
164663,K2F3C,6.017695903778076,6.0,3
165209,MgLaF3,6.135702133178711,5.0,3
166570,SrLuF5,6.90106201171875,7.0,3
193576,KNdF3,6.332231521606445,5.0,3
194095,CaHoF5,7.143860816955566,7.0,3
199049,NdPH2,6.004814147949219,4.0,3
214150,ZrHoF5,6.175997734069824,7.0,3
229934,SrNdF5,7.013205528259277,7.0,3
259556,MgNdH4,6.413703918457031,6.0,3
260087,MgHoF3,7.108104705810548,5.0,3
262678,MgF3C,6.171858787536621,5.0,3
266256,CaGeF5,6.002245903015138,7.0,3
267622,MgLaF5,6.520017623901367,7.0,3
280778,SrYF5,6.310453414916992,7.0,3
288707,Li2PH4,6.398232460021973,7.0,3
297453,F3CB2,6.322348594665527,6.0,3
316763,MgK2F3,6.35771369934082,6.0,3
319859,LaSmF5,6.019330978393555,7.0,3
334648,MgLuF5,7.327035903930664,7.0,3
344604,AlF3B2,6.871827125549316,6.0,3
349451,MgNdF3,7.195417404174805,5.0,3
353024,ScLuF5,6.1160888671875,7.0,3
357857,SrLaF5,6.2630367279052725,7.0,3
385866,PF5,6.3810672760009775,6.0,2
389991,TmF3C,6.0632076263427725,5.0,3
390859,MgLuH4,6.073965072631836,6.0,3
397134,LaHoF5,6.289992332458496,7.0,3
409998,NdDyF5,6.563172340393066,7.0,3
414185,MgYF3,6.2998762130737305,5.0,3
419794,LaLuF5,6.2019710540771475,7.0,3
423471,FCH3,6.27326774597168,5.0,3
446717,Nd2SiF3,6.413169860839844,6.0,3
458064,MgAlH3,6.0016961097717285,5.0,3
459417,LiSrF3,6.690524101257324,5.0,3
468218,Na2MgF3,6.433271408081055,6.0,3
505516,DyHoF5,6.5976009368896475,7.0,3
517719,PH3,6.55441951751709,4.0,2
519671,AlLaF5,6.057448387145996,7.0,3
537022,MgSrF3,7.04476261138916,5.0,3
550871,F2B,6.548037528991699,3.0,2
556316,MgAlF3,7.256294250488281,5.0,3
561865,PH4,6.773858070373535,5.0,2
562500,HoLuF5,6.880036354064941,7.0,3
586982,AlK2F3,6.363703727722168,6.0,3
598923,Li2HoH4,6.222378730773926,7.0,3
599180,AlBaF3,6.1071739196777335,5.0,3
613387,PF2C,6.094882011413574,4.0,3
618209,LiAlF3,6.9222354888916025,5.0,3
619530,ScHoF5,6.270258903503418,7.0,3
620877,SrDyF3,6.197052955627441,5.0,3
660003,ErF3,6.128291130065918,4.0,2
661907,LiNdF5,6.961066246032715,7.0,3
680069,AlPF3,6.9984683990478525,5.0,3
682628,P2CH4,6.0952186584472665,7.0,3
693568,NdTmH4,6.240677833557129,6.0,3
699319,HoPH2,6.1000938415527335,4.0,3
706544,AlSrF5,6.960112571716309,7.0,3
707264,SrHoF3,6.682936668395996,5.0,3
709164,CaDyF5,6.626955986022949,7.0,3
716303,SrF2,6.302802085876465,3.0,2
717296,AlErF3,6.7019615173339835,5.0,3
764320,AlPH4,6.677186965942383,6.0,3
767689,MgP2H4,6.6561622619628915,7.0,3
783563,MgF3B2,6.962728500366211,6.0,3
784698,Li2NdH4,6.035929203033447,7.0,3
791175,HoP2H4,6.743971824645996,7.0,3
802017,BaDyF5,6.206106185913086,7.0,3
821429,NdP2H4,6.5701656341552725,7.0,3
834061,Na2F3B,6.577641487121582,6.0,3
