id,composition,Eg,num_atom,# of elements
44040,AlPO4,6.1137542724609375,6.0,3
49312,SrF3B2,6.054448127746582,6.0,3
133121,P2OH3,6.32723331451416,6.0,3
138097,AlO4B,6.281088829040527,6.0,3
161350,LiPF5,6.2193803787231445,7.0,3
190030,AlF3O,6.400104522705077,5.0,3
244539,PF5O,7.223295211791992,7.0,3
275267,AlScF3,6.112558364868164,5.0,3
314405,PO4B2,6.682168006896973,7.0,3
344604,AlF3B2,6.495308876037598,6.0,3
395646,AlCsF3,6.040085792541504,5.0,3
423273,AlCl4B2,6.2108211517333975,7.0,3
439238,AlSrH4,6.02281665802002,6.0,3
527190,P2OB,6.042060852050781,4.0,3
537022,MgSrF3,6.22603702545166,5.0,3
556316,MgAlF3,6.0273475646972665,5.0,3
651606,P2O3B2,6.268692970275879,7.0,3
680069,AlPF3,6.651216506958008,5.0,3
685918,BeAlF5,6.963167190551758,7.0,3
704399,AlPO5,6.244629859924316,7.0,3
706544,AlSrF5,6.752199172973633,7.0,3
711759,P2OB2,6.276626586914063,5.0,3
732980,PO2H2,6.0028486251831055,5.0,3
738938,PB4H2,6.397740364074707,7.0,3
764320,AlPH4,6.567152976989746,6.0,3
800911,P2SiB4,6.007791996002197,7.0,3
841515,MgScF3,6.113922119140625,5.0,3
863020,AlSrCl5,6.09414005279541,7.0,3
871978,AlO4B2,6.239895820617676,7.0,3
876041,AlSrF3,6.22713565826416,5.0,3
1052432,AlSrF4,6.556114196777344,6.0,3
1080246,AlO3B2,6.082846641540527,6.0,3
1182210,AlBaF5,6.270529747009277,7.0,3
