id,composition,Eg,num_atom,# of elements
4782,ClF3C,6.192564487457275,5.0,3
10746,CaNdF3,6.00336503982544,5.0,3
23229,SF5C,6.306215763092041,7.0,3
35580,F3CH2,6.89073657989502,6.0,3
36415,LaDyF5,6.056131362915039,7.0,3
49312,SrF3B2,6.127072334289551,6.0,3
62688,YB2H4,6.280144214630128,7.0,3
78249,TmLuF5,6.355194091796875,7.0,3
100940,LaNdF5,6.137147426605225,7.0,3
110214,DyErF5,6.686752796173097,7.0,3
114729,LiF5C,6.623058795928955,7.0,3
132214,AlNdF5,6.202649116516112,7.0,3
136197,ClF5C,6.437504768371582,7.0,3
147167,HoF5C,6.358146190643311,7.0,3
161350,LiPF5,6.822545051574707,7.0,3
166426,CB2H2,6.357985973358153,5.0,3
166570,SrLuF5,6.8008384704589835,7.0,3
194095,CaHoF5,6.778439521789551,7.0,3
225416,Cl4CB2,6.001667499542236,7.0,3
229934,SrNdF5,6.933230876922607,7.0,3
244164,BeF5C,6.002993583679199,7.0,3
247157,DyF5C,6.015846252441406,7.0,3
250382,NaSF5,6.176562309265138,7.0,3
252186,Cl2F3B,7.408195972442628,6.0,3
260087,MgHoF3,6.012136936187744,5.0,3
274166,CaClF5,6.209267139434815,7.0,3
275436,MgCsF3,6.270418643951416,5.0,3
280778,SrYF5,6.761778831481934,7.0,3
297453,F3CB2,7.132445812225343,6.0,3
319859,LaSmF5,6.171711921691895,7.0,3
334648,MgLuF5,6.67327880859375,7.0,3
339276,SF3B2,6.641005039215088,6.0,3
344604,AlF3B2,6.039361000061035,6.0,3
353024,ScLuF5,6.637858867645264,7.0,3
357857,SrLaF5,6.27849817276001,7.0,3
359820,PF5C,6.749590873718263,7.0,3
366899,CsNdF3,6.30965518951416,5.0,3
397134,LaHoF5,6.2208638191223145,7.0,3
404516,ClF3B2,6.93601655960083,6.0,3
409998,NdDyF5,6.724494457244872,7.0,3
419794,LaLuF5,6.1120262145996085,7.0,3
441418,F4CH2,7.12334680557251,7.0,3
451463,CsF5C,6.517730236053468,7.0,3
489919,YF3B2,6.30113410949707,6.0,3
505516,DyHoF5,6.750821113586426,7.0,3
508173,CsDyF3,6.004396438598633,5.0,3
547559,CsF3B2,6.626771450042725,6.0,3
550871,F2B,6.786192417144775,3.0,2
562500,HoLuF5,6.69830322265625,7.0,3
582086,LiF3C,6.100623607635497,5.0,3
619530,ScHoF5,6.736850261688232,7.0,3
625143,YClF5,6.0036797523498535,7.0,3
630013,SrCsF3,6.173898696899414,5.0,3
661907,LiNdF5,6.666384696960449,7.0,3
677346,SiF3C,6.323163986206055,5.0,3
677849,LiClF5,6.141422748565674,7.0,3
685918,BeAlF5,6.134171485900879,7.0,3
706544,AlSrF5,6.224977970123291,7.0,3
707264,SrHoF3,6.090609550476074,5.0,3
709164,CaDyF5,6.465299129486084,7.0,3
783563,MgF3B2,6.725021839141847,6.0,3
784176,CsSF5,6.141917705535889,7.0,3
799926,F5OC,6.052588939666747,7.0,3
802017,BaDyF5,6.260498523712157,7.0,3
805357,CsNdF5,6.985393524169923,7.0,3
834061,Na2F3B,7.479959011077881,6.0,3
884991,LiSF5,6.072507381439209,7.0,3
890203,YCsF3,6.13245153427124,5.0,3
934622,RbDyF5,6.922532558441162,7.0,3
975720,MgSiF3,6.088288307189941,5.0,3
1005990,NdF5C,6.218723773956299,7.0,3
1032007,YLaF5,6.0075531005859375,7.0,3
1036577,KNdF5,6.094188213348389,7.0,3
1050805,CaF5C,6.49345588684082,7.0,3
1053741,YF5C,6.138578414916992,7.0,3
1070853,NaF5C,6.7923030853271475,7.0,3
1076076,PrDyF5,6.1366519927978525,7.0,3
1134418,CsDyF5,6.761912345886231,7.0,3
1135470,NaF2B,7.3138427734375,4.0,3
1164314,SrF5C,6.1404337882995605,7.0,3
1169911,NaHoF3,6.0896973609924325,5.0,3
